Model,Class,Size,Repeat,Accuracy
Logistic,8,32,16,0.0783132530120482
Logistic,9,32,16,0.24293785310734464
Logistic TAN,0,32,16,0.4735376044568245
Logistic TAN,1,32,16,0.8560606060606061
Logistic TAN,2,32,16,0.2222222222222222
Logistic TAN,3,32,16,0.21686746987951808
Logistic TAN,4,32,16,0.46
Logistic TAN,5,32,16,0.10625
Logistic TAN,6,32,16,0.24705882352941178
Logistic TAN,7,32,16,0.1360544217687075
Logistic TAN,8,32,16,0.10240963855421686
Logistic TAN,9,32,16,0.2824858757062147
NB,0,32,17,0.6740947075208914
NB,1,32,17,0.9696969696969697
NB,2,32,17,0.46464646464646464
NB,3,32,17,0.7048192771084337
NB,4,32,17,0.45
NB,5,32,17,0.4
NB,6,32,17,0.7470588235294118
NB,7,32,17,0.7006802721088435
NB,8,32,17,0.42168674698795183
NB,9,32,17,0.5988700564971752
TAN,0,32,17,0.5598885793871866
TAN,1,32,17,0.9810606060606061
TAN,2,32,17,0.1717171717171717
TAN,3,32,17,0.28313253012048195
TAN,4,32,17,0.68
TAN,5,32,17,0.3125
TAN,6,32,17,0.7058823529411765
TAN,7,32,17,0.7482993197278912
TAN,8,32,17,0.5903614457831325
TAN,9,32,17,0.24293785310734464
Logistic,0,32,17,0.5376044568245125
Logistic,1,32,17,0.7348484848484849
Logistic,2,32,17,0.18181818181818182
Logistic,3,32,17,0.1686746987951807
Logistic,4,32,17,0.145
Logistic,5,32,17,0.10625
Logistic,6,32,17,0.20588235294117646
Logistic,7,32,17,0.17006802721088435
Logistic,8,32,17,0.07228915662650602
Logistic,9,32,17,0.192090395480226
Logistic TAN,0,32,17,0.38997214484679665
Logistic TAN,1,32,17,0.8333333333333334
Logistic TAN,2,32,17,0.20202020202020202
Logistic TAN,3,32,17,0.22289156626506024
Logistic TAN,4,32,17,0.135
Logistic TAN,5,32,17,0.1375
Logistic TAN,6,32,17,0.2235294117647059
Logistic TAN,7,32,17,0.19727891156462585
Logistic TAN,8,32,17,0.03614457831325301
Logistic TAN,9,32,17,0.14689265536723164
NB,0,32,18,0.9665738161559888
NB,1,32,18,0.9393939393939394
NB,2,32,18,0.48484848484848486
NB,3,32,18,0.7469879518072289
NB,4,32,18,0.42
NB,5,32,18,0.18125
NB,6,32,18,0.5882352941176471
NB,7,32,18,0.5714285714285714
NB,8,32,18,0.2710843373493976
NB,9,32,18,0.576271186440678
